Variabel,Display_navn,Type,Kategori,Beskrivelse,Kilde,Kilde_url,Tabell,Enhet,Frekvens,Startaar,Sluttaar,Funksjon,Kommentar,Omraade
HICP,HICP,NA,NA,NA,Eurostat,NA,prc_hicp_aind,Indeks,Årlig,NA,NA,get_hicp,NA,Internasjonal
Befolkning,Befolkning,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Arbeidsledighetsrate,Arbeidsledighetsrate,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
BNP_lopende,BNP_lopende,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
BNP_faste_priser,BNP_faste_priser,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Industriproduksjon,Industriproduksjon,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Sysselsatte,Sysselsatte,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Arbeidsstyrke,Arbeidsstyrke,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Offentlig_gjeld_andel_BNP,Offentlig_gjeld_andel_BNP,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Boligprisindeks,Boligprisindeks,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Detaljhandel,Detaljhandel,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Eksport,Eksport,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Import,Import,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Privat_konsum,Privat_konsum,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Offentlig_konsum,Offentlig_konsum,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Investeringer,Investeringer,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Statsrente_10aar,Statsrente_10aar,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Inflasjon,Inflasjon,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Befolkningsvekst,Befolkningsvekst,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
BNP_lopende_per_innbygger,BNP_lopende_per_innbygger,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
BNP_vekst,BNP_vekst,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Industriproduksjon_vekst,Industriproduksjon_vekst,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Sysselsettingsandel,Sysselsettingsandel,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Arbeidsproduktivitet,Arbeidsproduktivitet,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Produktivitetsvekst,Produktivitetsvekst,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Arbeidsstyrkeandel,Arbeidsstyrkeandel,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Boligprisvekst,Boligprisvekst,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Detaljhandel_vekst,Detaljhandel_vekst,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Handelsbalanse,Handelsbalanse,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Eksportandel_BNP,Eksportandel_BNP,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Importandel_BNP,Importandel_BNP,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Handelsbalanse_andel_BNP,Handelsbalanse_andel_BNP,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Privat_konsum_vekst,Privat_konsum_vekst,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Offentlig_konsum_vekst,Offentlig_konsum_vekst,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Privat_konsum_andel_BNP,Privat_konsum_andel_BNP,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Offentlig_konsum_andel_BNP,Offentlig_konsum_andel_BNP,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Investeringsvekst,Investeringsvekst,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
Investeringer_andel_BNP,Investeringer_andel_BNP,NA,NA,NA,NA,NA,NA,NA,Årlig,NA,NA,NA,NA,Internasjonal
